,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
1,False,False,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,True,False
2,True,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,False,False
3,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,True,False,False,False
4,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True
5,False,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True
6,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,False,False
7,True,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False
8,True,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,True
9,True,False,True,False,True,True,True,True,False,True,False,False,False,False,True,False,True,False,True,True
10,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True
11,True,True,True,False,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True
12,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,True,True
13,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True
14,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False
15,True,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True
16,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True
17,True,True,False,False,False,False,False,True,True,True,True,False,True,False,True,True,False,True,False,True
18,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
19,False,True,False,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True
20,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False
21,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,False,False,False,True
22,True,True,False,True,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False
23,True,True,False,True,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False
24,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,True,True
25,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False
26,False,True,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True
27,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
28,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False
29,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False
30,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False
31,False,False,True,False,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,True
32,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,False,False
33,False,True,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,True,True
34,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False
35,False,True,False,True,True,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False
36,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True
37,True,True,True,False,True,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False
38,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,True,True,False,False
39,False,False,False,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True
40,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False
41,True,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False
42,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False
43,False,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,False,True,True
44,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True
45,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,True,True
46,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,True,True
47,False,False,True,True,False,True,True,True,False,False,False,False,True,False,False,True,True,True,True,False
48,True,False,True,False,True,False,False,True,False,True,False,True,True,True,True,True,False,True,True,False
49,False,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True
50,False,True,False,False,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True
51,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False
52,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True
53,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,True
54,True,True,True,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,False,False
55,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,True,False,False,False
56,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False
57,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True
58,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,False
59,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False
60,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True
61,False,False,False,False,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False,False
62,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,True,True
63,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True
64,False,False,False,False,True,True,False,True,True,False,True,False,True,True,True,False,False,True,False,False
65,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,True,False,False,False
66,False,True,True,False,False,True,True,True,False,False,False,False,True,True,False,True,True,False,False,True
67,False,True,True,False,False,False,True,True,False,True,True,False,False,True,False,True,True,False,True,True
68,True,True,True,False,True,False,False,True,False,False,True,True,True,False,False,True,False,False,True,True
69,False,True,True,False,True,True,False,True,True,False,False,True,False,False,True,False,True,True,False,True
70,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,False,False,True,True
71,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True
72,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False
73,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True
74,True,False,True,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True
75,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True
76,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,False,True,True
77,True,False,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True
78,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,False
79,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True
80,True,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True
81,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,False,True,False,False,False
82,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False
83,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False
84,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
85,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,True
86,False,True,True,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False
87,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False
